Drug_Name,Reason,Description
C Win Cream 30gm,Fungal,it removes moisture 
Canazole 1% Dusting Powder 100gmCanazole 1% Dusting Powder 30gmCanazole 1% Lotion 15mlCanazole Mouth Paint 15mlCanazole 1% Cream 15gmCanazole Gel 30gmCanazole 1% Ear Drops 10ml,Fungal,treat associated penile thrush (candidal balanitis)
Canazole VG 100mg Tablet 6'SCanazole VG 2% Gel 30gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Cancidas 50mg Injection 10mlCancidas 75mg Injection 10ml,Fungal,works by slowing the growth of fungi that cause infection
Cancigin 70mg Injection 1mlCancigin 70mg InjectionCancigin 50mg Injection,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
CANDICLO Cream 15gm,Fungal,it removes bacteria
Candicom 200mg Capsule 10'SCandicom 100mg Capsule 10'S,Fungal,it reduces growth of fungus
Candidc Cream 50gmCandid Cream 30gmCandid Soap 125gmCandid B Lotion 30mlCandid TV Lotion 60mlCandid Soap 50gmCandid Cream 50gmCandid Gel 15gmCandid Lotion 30ml,Fungal,it removes moisture 
Candid B Cream 30gmCandid B Cream 10gmCandid B Cream 20gm,Fungal,treat associated penile thrush (candidal balanitis)
Candid Cool Dusting Powder 50gmCandid Cool Dusting Powder 100gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Candid Gold Cream 50gmCandid Gold Powder 100gmCandid Gold Powder 50gmCandid Gold Cream 30gm,Fungal,works by slowing the growth of fungi that cause infection
Candid KZ 2% Soap 75gmCandid KZ 2% Cream 15gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Candid KZ Premium Soap 75gm,Fungal,it removes bacteria
Candid Medicated Soap 125gmCandid Medicated Soap 50gm,Fungal,it reduces growth of fungus
Candid Renew Talc Powder 250gmCandid Renew Talc Powder 100gm,Fungal,it removes moisture 
Candid Total Plus Cream 20gm,Fungal,it removes bacteria
Candidal 50mg Injection 1'SCandidal 70mg Injection 1'S,Fungal,it reduces growth of fungus
Candidb 0.025/1% Dusting Powder 100gm,Fungal,it removes moisture 
CANDIDOX Cream 30gmCANDIDOX Spray 50mlCANDIDOX Lotion 30ml,Fungal,treat associated penile thrush (candidal balanitis)
Candiforce 400mg Tablet 4'SCandiforce 100mg Capsule 4'SCandiforce 200mg Capsule 7'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Candigyl 150mg Tablet 1'SCandigyl 100mg Tablet 4'S,Fungal,works by slowing the growth of fungi that cause infection
Candimale Cream 15gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
CANDIRAP 200mg Capsule 4'sCANDIRAP 2% Dusting Powder 50gmCANDIRAP 100mg Capsule 4'sCandirap Cream 10gmCANDIRAP 400mg Capsule 4's,Fungal,it removes bacteria
Candistat 2% Cream 15gmCandistat 100mg Capsule 2'SCandistat Capsule 4'S,Fungal,it reduces growth of fungus
Canditas Dusting Powder 75gm,Fungal,it removes moisture 
Canditral 100mg Capsule 10'SCanditral 200mg Capsule 10'S,Fungal,treat associated penile thrush (candidal balanitis)
Candituf 200mg Capsule 4'SCandituf 100mg Capsule 4'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Canditz 200mg Capsule 10'SCanditz Capsule 10'SCanditz 100mg Capsule 4'S,Fungal,works by slowing the growth of fungi that cause infection
Candizole T Tablet 8'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Cando V 100mg Tablet 6'S,Fungal,it removes bacteria
Candrea Suppository 3'S,Fungal,it reduces growth of fungus
Canesten Powder 100gmCanesten Cream 15gmCanesten Solution 15ml,Fungal,it removes moisture 
Canesten S Cream 10gm,Fungal,treat associated penile thrush (candidal balanitis)
Canidula 100mg Injection 1'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Canitra 100mg Capsule 4'S,Fungal,works by slowing the growth of fungi that cause infection
CANROLFIN Cream 30gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
CANS Kit 1's,Fungal,it removes bacteria
Cansoft 100mg Pessaries 6'SCansoft 100 mg Pessarie 6,Fungal,it reduces growth of fungus
Cantop V 6mg Tablet 6'S,Fungal,it removes moisture 
Canzika 150mg Tablet 1'S,Fungal,treat associated penile thrush (candidal balanitis)
Canzorb Powder 100gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Capofin 50mg Injection,Fungal,works by slowing the growth of fungi that cause infection
Capsain 70mg Injection 10mlCapsain 50mg Injection 10ml,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Casfung 70mg InjectionCasfung 50mg Injection,Fungal,it removes bacteria
Caspercid 50mg Injection 1'SCaspercid 70mg Injection 1'S,Fungal,it reduces growth of fungus
Caspifung 50mg Injection 1'SCaspifung 70mg Injection 1'S,Fungal,it removes moisture 
Caspledge 50Mg Injection 1's,Fungal,it removes bacteria
Caspogard 50mg Injection 1'SCaspogard 70mg Injection 1'S,Fungal,it reduces growth of fungus
Caspogin 70mg Injection 10mlCaspogin 50mg Injection 10ml,Fungal,it removes moisture 
Casponex 50 mg Injection 1'SCasponex 70 mg Injection 1'S,Fungal,treat associated penile thrush (candidal balanitis)
Casporan 70mg InjectionCasporan 50mg Injection,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Caspotaz 70mg Injection 1mlCaspotaz 50mg Injection 1ml,Fungal,works by slowing the growth of fungi that cause infection
Ceastra 100mg Capsule 4'SCeastra 200mg Capsule 4'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Ceastra XL 100mg Capsule 7'SCeastra XL 200mg Capsule 7'S,Fungal,it removes bacteria
Clingen Plus Suppository 7'S,Fungal,it reduces growth of fungus
Clinhair Shampoo 100mlClinhair Gel 40gm,Fungal,it removes moisture 
Cloben Dusting Powder 100gmCloben Liquid 50mlCloben G Cream 15gm,Fungal,treat associated penile thrush (candidal balanitis)
Cloben G Cream 5gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Clobetagen M Cream 15gm,Fungal,works by slowing the growth of fungi that cause infection
Clobitra 100mg Capsule 4'SClobitra 200mg Capsule 10'SClobitra 200mg Capsule 4'SClobitra 100mg Capsule 10'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Clocip B Cream 10gmClocip Powder 100gmClocip Dusting Powder 75gmClocip Cream 15gm,Fungal,it removes bacteria
Clocip B Cream 5gm,Fungal,it reduces growth of fungus
Clodid VT 6mg Tablet 6'S,Fungal,it removes moisture 
Clogen Tablet 10'S,Fungal,treat associated penile thrush (candidal balanitis)
Clostar GM Cream 16Gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Clotrilin 100mg Tablet 6'S,Fungal,works by slowing the growth of fungi that cause infection
Clotrimb 0.025/1% Cream 5gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Clotrin Cream 15gm,Fungal,it removes bacteria
Clotrin B Cream 10gmClotrin B Lotion 15ml,Fungal,it reduces growth of fungus
CONA 150mg Tablet 1's,Fungal,it removes moisture 
Conaderm Shampoo 50ml,Fungal,treat associated penile thrush (candidal balanitis)
Conflu 200mg Capsule 4'SConflu 150mg CapsuleConflu 0.3% Eye Drops 5ml,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
CONIDERM Cream 15gmCONIDERM 100mg Tablet 4'sCONIDERM Cream 20gm,Fungal,works by slowing the growth of fungi that cause infection
CONIDERM F Cream 15gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
CONIDERM FB Cream 20gm,Fungal,it removes bacteria
CONIDERM L Cream 10gm,Fungal,it reduces growth of fungus
Cosbeta Itz 100mg Tablet 7'SCosbeta Itz 200mg Tablet 7'SCosbeta Itz 100mg Capsule 10'SCosbeta Itz 200mg Capsule 10'S,Fungal,it removes moisture 
Cosvate NM Cream 15gm,Fungal,it removes bacteria
Critposa 18mg Injection 1'S,Fungal,it reduces growth of fungus
Crousho Gel 30gm,Fungal,it removes moisture 
Crurix Cream 30gm,Fungal,treat associated penile thrush (candidal balanitis)
Ctzole Cream 15gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Curemite Lotion 60ml,Fungal,works by slowing the growth of fungi that cause infection
Cuticare Cream 15gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Cytoflu 500mg Tablet 50'S,Fungal,it removes bacteria
Czson Cream 20gmCzson Dusting Powder 100gm,Fungal,it reduces growth of fungus
Czson B Cream 20gm,Fungal,it removes moisture 
Czson NB Cream 15gm,Fungal,treat associated penile thrush (candidal balanitis)
Daktacort Gel 5gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Daktarin 2% Gel 20gm,Fungal,works by slowing the growth of fungi that cause infection
Daktarin T Cream 15gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Danclear Gel 90gmDanclear Cream 50gm,Fungal,it removes bacteria
Dancure Shampoo 50ml,Fungal,it reduces growth of fungus
Dandrop Lotion 60ml,Fungal,it removes moisture 
Danfree 2% Lotion 50mlDanfree 2% Shampoo 100mlDanfree 1% Shampoo 100ml,Fungal,treat associated penile thrush (candidal balanitis)
Danket Shampoo 50mlDanket Shampoo 125ml,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Daskil 1% Cream 10gmDaskil 250mg Tablet 7'S,Fungal,works by slowing the growth of fungi that cause infection
Denfast Shampoo 60ml,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Derketo Soap 75gm,Fungal,it removes bacteria
Dermalex Cream 100gm,Fungal,it reduces growth of fungus
Dermizole 2% Cream 15gm,Fungal,it removes moisture 
Dermonorm 250mg Tablet 10'S,Fungal,treat associated penile thrush (candidal balanitis)
Dermoquinol 8% Cream 25gmDermoquinol 8% Ointment 15gmDermoquinol 4% Ointment 15gmDermoquinol 4% Cream 25gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Dermosav Cream 20gm,Fungal,works by slowing the growth of fungi that cause infection
Dermotriad Cream 10gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Dermotriad Plus Cream 10gm,Fungal,it removes bacteria
Dexoderm 250mg Tablet 7'S,Fungal,it reduces growth of fungus
DK Gel 30gm,Fungal,it removes moisture 
DK GEL Dusting Powder 100gm,Fungal,it removes bacteria
Dulaedge 100mg Injection 1'S,Fungal,it reduces growth of fungus
Eberclin Cream 30gmEberclin Cream 15gm,Fungal,it removes moisture 
Eberclin M Cream 15gm,Fungal,treat associated penile thrush (candidal balanitis)
Ebercos Cream 15gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Eberderm Cream 15gmEberderm Cream 30gm,Fungal,works by slowing the growth of fungi that cause infection
Eberfine Cream 50gmEberfine Cream 15gmEberfine Cream 30gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
EBERFINE M Cream 15gm,Fungal,it removes bacteria
Eberjen Cream 20gm,Fungal,it reduces growth of fungus
Eberjen M Cream 10gm,Fungal,it removes moisture 
Ebermac 1% Cream 30gmEbermac Ointment 30gmEbermac 1% Cream 15gm,Fungal,treat associated penile thrush (candidal balanitis)
Ebernet Cream 15gmEbernet Lotion 40gmEbernet M Cream 15gmEbernet Cream 30gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Ebernet M Cream 5gm,Fungal,works by slowing the growth of fungi that cause infection
EBERWIN Cream 60gmEberwin Cream 15gmEberwin Cream 30gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
EBERZOLE 1% Cream 15gm,Fungal,it removes bacteria
Ebspor Cream 30gmEbspor Cream 50gmEbspor Cream 15gm,Fungal,it reduces growth of fungus
Ecodax G Cream 10gmEcodax G Cream 15gm,Fungal,it removes moisture 
Eldoben Suspension 200ml,Fungal,treat associated penile thrush (candidal balanitis)
ELICE Lotion 60mlELICE Soap 75gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Elmovel TF Ointment 10gm,Fungal,works by slowing the growth of fungi that cause infection
Emluz 1% Cream 20gmEmluz 1% Cream 40gmEmluz 1% Lotion 15mlEmluz Cream 10gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Emrolfin Cream 50gmEmrolfin Cream 30gm,Fungal,it removes bacteria
Endfung 100mg Injection 1'S,Fungal,it reduces growth of fungus
Entozole 1% Eye Drops 5ml,Fungal,it removes moisture 
Episert Cream 20gm,Fungal,treat associated penile thrush (candidal balanitis)
Eraxis 100mg Injection 1'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Erbimesh 1% Cream 15gmErbimesh 1% Cream 30gm,Fungal,works by slowing the growth of fungi that cause infection
Erbinox Tablet 7'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Ergozol 150mg Capsule 2'S,Fungal,it removes bacteria
Escrab Cream 60gmEscrab Soap 75gm,Fungal,it reduces growth of fungus
Eumosone M Cream 15gm,Fungal,it removes moisture 
Exel M Cream 16Gm,Fungal,it removes bacteria
Ezimet Cream 10gm,Fungal,it reduces growth of fungus
Ezob Cream 30gm,Fungal,it removes moisture 
F Con 150mg Tablet 1'S,Fungal,treat associated penile thrush (candidal balanitis)
F Next Dusting Powder 75gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Fabizol 2% Powder 75gmFabizol 150mg Tablet 4'SFabizol 400mg Tablet,Fungal,works by slowing the growth of fungi that cause infection
FCN 150mg Tablet 2'SFCN 150mg Tablet 1'SFCN 200mg Tablet 2'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
FENZA Cream 10gmFENZA Cream 30gmFenza 600mg Capsule,Fungal,it removes bacteria
FENZA L Cream 10gm,Fungal,it reduces growth of fungus
Finlin Cream 10gmFinlin 250mg Tablet 7'S,Fungal,it removes moisture 
Fintop Cream 15gm,Fungal,treat associated penile thrush (candidal balanitis)
Fintop AF Cream 15gmFintop AF Cream 30gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Fintrix 250mg Tablet 7'SFintrix Cream 10gm,Fungal,works by slowing the growth of fungi that cause infection
Fivasa 600mg Capsule 1'SFivasa Cream 30gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Fixtral 100mg Capsule 7'SFixtral 200mg Capsule 10'S,Fungal,it removes bacteria
FLOW 200MG TABLET 10'SFLOW 150MG CAPSULE 1'S,Fungal,it reduces growth of fungus
FLU 150mg Tablet 1'S,Fungal,it removes moisture 
Flubet 150mg Tablet 1'S,Fungal,treat associated penile thrush (candidal balanitis)
Flucalup 50mg Tablet 4'SFlucalup 150mg Tablet 1'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Flucaz 150mg Tablet,Fungal,works by slowing the growth of fungi that cause infection
Flucess 150mg Tablet 1'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Flucofit 150mg Tablet 1'S,Fungal,it removes bacteria
Flucort C Ointment 10gmFlucort C Cream 15gmFlucort C Ointment 15gmFlucort C Cream 10gm,Fungal,it reduces growth of fungus
Flucortmz 0.01/2% Cream 15gm,Fungal,it removes moisture 
Flucos Lotion 60mlFlucos Dusting Powder 100gmFlucos 200mg Tablet 4'SFlucos 0.5%W/W Gel 15gmFlucos Dusting Powder 150gmFlucos 400mg Tablet 1'SFlucos 150mg Tablet 4'S,Fungal,treat associated penile thrush (candidal balanitis)
Flucos DT 50mg Tablet 4'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Flucos Itz 100mg Capsule 10'SFlucos Itz Powder 75gmFlucos Itz 200mg Capsule 10'SFlucos Itz 200mg Tablet 7'SFlucos Itz 100mg Tablet 7'SFlucos Itz 400mg Tablet 4'S,Fungal,works by slowing the growth of fungi that cause infection
Flucoti Tablet 2'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Fluent 150mg Tablet 1'S,Fungal,it removes bacteria
Flufung 50mg Tablet 4'SFlufung 400mg Tablet 3'SFlufung 150mg Tablet,Fungal,it reduces growth of fungus
Flugee 150mg Tablet 20'SFlugee 150mg Tablet 1'S,Fungal,it removes moisture 
Fluka 150mg TabletFluka 150mg Capsule 1'S,Fungal,it removes bacteria
Flukem 150mg Tablet 1'S,Fungal,it reduces growth of fungus
Flukonazole 150Mg Capsule 1's,Fungal,it removes moisture 
Flumax 150mg Tablet 1'S,Fungal,treat associated penile thrush (candidal balanitis)
Flumed 150mg Tablet 1'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
FLUMET Gel 15gmFlumet 150mg Tablet 1'SFlumet Soap 75gm,Fungal,works by slowing the growth of fungi that cause infection
Flumet Plus Tablet 1'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Flumik 150mg Capsule 3'S,Fungal,it removes bacteria
FLUNAZ 50mg Tablet 10'sFLUNAZ 150mg Tablet 1's,Fungal,it reduces growth of fungus
Fluneon 200mg Infusion 100ml,Fungal,it removes moisture 
Flunova 200mg Tablet 10'SFlunova 150mg Tablet 1'SFlunova 50mg Tablet 4'S,Fungal,treat associated penile thrush (candidal balanitis)
Fluri 5mg Tablet 10'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Flustan 150mg Tablet 1'SFlustan 200mg Tablet 4'SFlustan DT 100mg Tablet 4'S,Fungal,works by slowing the growth of fungi that cause infection
Flustate 150mg Tablet 5'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Flusyst 150mg Tablet 1'S,Fungal,it removes bacteria
Flutas 400mg Tablet 1'SFlutas 50mg Tablet 4'SFlutas 150mg Tablet 1'S,Fungal,it reduces growth of fungus
Flutini 150/1000mg Kit 1'S,Fungal,it removes moisture 
Flutrox 150mg Capsule 1'S,Fungal,treat associated penile thrush (candidal balanitis)
Flutycandy 100mg Capsule 4'SFlutycandy 2% Dusting Powder 75gmFlutycandy 200mg Capsule 4'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Fluza 150mg Tablet 1'S,Fungal,works by slowing the growth of fungi that cause infection
FLUZIP Tablet 1's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Fluzol 150mg Tablet 1'S,Fungal,it removes bacteria
Fluzon 150mg Tablet 1'SFluzon 50mg Tablet 4'S,Fungal,it reduces growth of fungus
Fole 150mg Tablet 1'SFole 400mg Tablet 1'SFole 100mg Tablet 1'SFole 200mg Tablet 1'S,Fungal,it removes moisture 
Fonazole 150mg Tablet 1'S,Fungal,treat associated penile thrush (candidal balanitis)
Forcan 200mg Tablet 4'SForcan Infusion 100mlForcan 150mg CapsuleForcan 150mg TabletForcan 10mg Suspension 30mlForcan 50mg Tablet 4'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Forcan Baby Injection 25ml,Fungal,works by slowing the growth of fungi that cause infection
Forcan DT 100mg Tablet 10'SForcan DT 100mg Tablet 4'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Forcan Plus Infusion 200ml,Fungal,it removes bacteria
Forcan TZ Capsule 4'SForcan TZ Tablet 3'S,Fungal,it reduces growth of fungus
Fourderm AF Cream 10gmFourderm AF Cream 5gm,Fungal,it removes moisture 
Fucross 100Mg Capsule 10'sFucross 200Mg Capsule 10's,Fungal,it removes bacteria
Fumate Cream 10gm,Fungal,it reduces growth of fungus
Fumycin 150mg Capsule 1'SFumycin 100mg Tablet 10'S,Fungal,it removes moisture 
Funaz 150mg Tablet 1'S,Fungal,treat associated penile thrush (candidal balanitis)
Fungdid B Cream 15gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Fungeeheal 100mg Capsule 7'SFungeeheal 200mg Capsule 7'S,Fungal,works by slowing the growth of fungi that cause infection
FUNGI 150mg Capsule 1's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Fungiban 150mg Tablet 1'S,Fungal,it removes bacteria
Fungicide 200mg Tablet 10'S,Fungal,it reduces growth of fungus
Fungicip 150mg Tablet 1'SFungicip 200mg Tablet 1'S,Fungal,it removes moisture 
Fungicon 50mg Capsule 2'SFungicon 150mg Capsule 1'S,Fungal,treat associated penile thrush (candidal balanitis)
Fungicreme Cream 10gm,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Fungicros Cream 10gmFungicros Cream 30gm,Fungal,works by slowing the growth of fungi that cause infection
Fungid Best 150mg Tablet 1'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Fungid NC Cream 15gm,Fungal,it removes bacteria
Fungiforce Itra 100mg Capsule 4'SFungiforce Itra 200mg Capsule 4'S,Fungal,it reduces growth of fungus
Fungikem Dusting Powder 75gmFungikem 200mg Capsule 7'SFungikem 100Mg Capsule 10'sFungikem 100mg Capsule 7'SFungikem 200mg Capsule 4'S,Fungal,it removes moisture 
Fungikem O 150mg Tablet 1'S,Fungal,treat associated penile thrush (candidal balanitis)
Fungina 150mg Capsule 1'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Fungirex Gel 30gm,Fungal,works by slowing the growth of fungi that cause infection
Fungiset 150mg Tablet 1'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Fungisome 25mg Injection 25mlFungisome 10mg Injection 10ml,Fungal,it removes bacteria
Fungiterb 250mg Tablet 7'SFungiterb Cream 10gm,Fungal,it reduces growth of fungus
Fungitop Cream 15gm,Fungal,it removes moisture 
Fungizone 50mg Injection 10ml,Fungal,treat associated penile thrush (candidal balanitis)
Fungnil V 100mg Tablet 6'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Fungo 150mg Tablet 1'S,Fungal,works by slowing the growth of fungi that cause infection
Fungotek Cream 10gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Funspor Dusting Powder 100gmFUNSPOR 150mg Tablet 2'sFunspor 150mg Tablet 1'S,Fungal,it removes bacteria
Funzi 250mg Tablet 10'S,Fungal,it reduces growth of fungus
Funzi IT 100mg Capsule 4'SFUNZI IT 200mg Capsule 10'sFunzi IT 200mg Capsule 4'S,Fungal,it removes moisture 
Funzi IT SR 200mg Tablet 4'S,Fungal,it removes bacteria
Funzi L 1% Cream 30gmFUNZI L Lotion 30ml,Fungal,it reduces growth of fungus
Fusys 200mg Tablet 4'SFusys 150mg Tablet 6'SFusys 150mg Tablet 1'SFusys 200mg Tablet 2'S,Fungal,it removes moisture 
Fusys DT 50mg Tablet 4'S,Fungal,treat associated penile thrush (candidal balanitis)
Fusys TZ 150/1000mg Tablet 3'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Futiza 200mg Tablet 2'S,Fungal,works by slowing the growth of fungi that cause infection
Futrap 150Mg Tablet 1'sFutrap 150Mg Tablet 5's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Fytin Soap 75gmFytin 2% Cream 15gm,Fungal,it removes bacteria
FZ 150mg Tablet 10'S,Fungal,it reduces growth of fungus
Fzhh 150mg Tablet,Fungal,it removes moisture 
Galitra 100mg Capsule 4'S,Fungal,treat associated penile thrush (candidal balanitis)
Gamabest Lotion 100ml,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Gamamed Lotion 100ml,Fungal,works by slowing the growth of fungi that cause infection
GANCIGEL Eye Ointment 5gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Gatrimav 100mg Tablet 6'S,Fungal,it removes bacteria
Gbhc Soap 50gm,Fungal,it reduces growth of fungus
Gentalene Plus Cream 20gm,Fungal,it removes moisture 
Gerderm 0.025/0.5/1% Cream 10gmGerderm 0.025/0.5/1% Cream 5gm,Fungal,treat associated penile thrush (candidal balanitis)
Glenflu 150mg Tablet 1'S,Fungal,"treats tinea cruris (Jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)"
Glocan 1% Cream 30gm,Fungal,works by slowing the growth of fungi that cause infection
Glospor 100mg Capsule 6'S,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis)
Gracederm Cream 15gm,Fungal,it removes bacteria
Gris Odt 250mg Tablet 7'S,Fungal,it reduces growth of fungus
Gris OD 375mg Tablet 30'SGris OD 250mg Tablet 10'S,Fungal,it removes moisture 
Gris Odt Cream 10gm,Fungal,treat associated penile thrush (candidal balanitis)
